Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16,Temperature_Binned
170,10,50,1.7222993037962948,-0.29268577773250853,139,1.2807741499133667,0.7007714651059367,-0.3385217370057316,0.7236538118306499,1.3240005567733382,1.8471167304824294,104,285,1572,,,Hot
170,11,31,1.2856676840273866,-0.29268577773250853,59,0.6789570147474403,0.21515796950176283,0.11184596919818175,0.739410914253707,0.7717274769503999,1.297749584553145,144,224,1623,,,Hot
170,12,25,1.0006442655671268,-0.29268577773250853,41,0.506591912928073,0.009257847365593111,0.3230528934869136,0.6369897485038363,0.5812146703448127,0.8731391211655709,174,162,1577,,,Hot
170,13,25,1.0188372497241647,-0.29268577773250853,38,0.47153460408345593,-0.07621012786074148,0.2982050200411804,0.5897184412346652,0.549105770355107,0.6411354659125664,178,167,1672,,,Hot
170,14,26,1.0006442655671268,-0.29268577773250853,47,0.5620993185987166,-0.12282902343874218,0.32926486184834686,0.5345685827539656,0.5747928903468715,0.3697349635411273,188,129,1460,,,Hot
170,15,25,0.8278109160752674,-0.29268577773250853,60,0.6847998995548764,-0.07621012786074148,0.4317623398119961,0.5503256851770226,0.5298404303612836,0.29312998303305976,206,58,1010,,,Hot
170,16,31,1.355407456629365,-0.29268577773250853,84,0.9068295222374513,0.013142755330426503,0.08389211157173196,0.8733462848496917,0.8038363769401056,0.8140438504879188,207,111,1561,,,Hot
170,17,30,1.091609186352316,-0.29268577773250853,61,0.6906427843623126,-0.010166692458573842,0.2422973047882808,0.7157752606191213,0.636870096993636,0.5054352147268469,194,119,1462,,,Hot
170,18,41,1.4069542450743056,-0.29268577773250853,141,1.2953813619319572,0.1763088898534289,-0.0962549709098334,0.770925119099821,1.2105491101430446,0.9234795369280153,166,148,1338,,,Hot
170,19,57,1.8739075051049436,-0.29268577773250853,188,1.6634831048004364,0.4327128155324327,-0.3478396895478816,0.8654677336381631,1.5551846366992192,1.3415238591291838,143,191,1361,,,Hot
170,20,57,1.8739075051049436,-0.29268577773250853,184,1.6313472383595373,0.41717318367309913,-0.3447337053671649,0.9284961433303912,1.411764883411867,1.2999382982819472,112,242,1413,,,Hot
170,21,36,1.1552846309019487,-0.29268577773250853,57,0.6614283603251317,0.036452203119426846,0.0590442381259988,0.6054755436577222,0.728915610297459,0.7593260072678706,86,364,1759,,,Hot
170,22,24,0.86116472036317,-0.29268577773250853,19,0.27579796303434395,-0.1539082871574093,0.2795691149568805,0.4951758266963231,0.4913097503736367,0.4791706499812237,71,458,2039,,,Hot
170,23,19,0.6458810745048889,-0.29268577773250853,279,0.04792545554433297,-0.2859951579617446,0.4752461183420291,0.3218477000426958,0.32862465709246114,0.19026043777936913,57,522,2114,,,Hot
181,0,22,0.7216851751592133,-0.29268577773250853,285,0.1209615156372852,-0.16556301105190946,0.3820665929205298,0.3769975585233954,0.45920085038393105,0.1421087357457267,46,577,2175,,,Hot
181,1,18,0.2577640791547481,-0.29268577773250853,262,-0.15949695511965137,-0.2549158942430775,0.7019829635343441,0.2982120464081102,0.23443855045599107,-0.12710305289691057,45,591,2252,,,Hot
181,2,10,-0.15157806437860352,-0.29268577773250853,219,-0.603556200484801,-0.46858583230891393,1.348027673123406,0.038219856427669306,-0.02457324279430163,-0.8340575872999336,51,573,2307,,,Hot
181,4,0,-0.3486687260798469,-0.29268577773250853,14,-0.9512078465272535,-0.5773632553242489,2.003390335254618,-0.2060152311297146,-0.23863257605900634,-1.2652341918739136,49,557,2137,,,Hot
181,6,8,-0.24254298516379277,-0.29268577773250853,119,-0.8401930351859662,-0.43750656859024684,1.795289395146603,0.02246275400461228,-0.14444646942253628,-1.1754969289930346,49,543,2053,,,Hot
181,7,17,0.4033079524110509,-0.29268577773250853,263,-0.14488974310106092,-0.20829699866507678,0.8044804414979934,0.3218477000426958,0.31578109709657887,-0.5932990771317215,50,529,1982,,,Hot
181,10,44,1.1461881388234296,-0.29268577773250853,108,1.1113304904977175,0.32782030048193117,-0.29193197429498197,0.7157752606191213,1.2597827567939266,0.9256682506568172,65,451,1856,,,Hot
181,11,37,1.0339980698550295,-0.29268577773250853,80,0.865929328585398,0.19184852171276248,-0.11178489181341662,0.6054755436577222,1.0435828301965748,0.6411354659125664,71,424,1801,,,Hot
181,12,31,0.7095565190545213,-0.29268577773250853,56,0.6497425907102594,0.09084091462709432,0.05593825394528216,0.542447133965494,0.7695868836177528,0.46603836760841216,81,381,1745,,,Hot
181,13,33,0.7732319636041538,-0.29268577773250853,69,0.766600286858983,0.028682387189760065,-0.006181429669050723,0.5030543779078516,0.8766165502501052,0.42883023421877936,87,356,1724,,,Hot
181,14,37,0.9551618051745323,-0.29268577773250853,83,0.898065195026297,0.11415036241609466,-0.07451308164481689,0.6054755436577222,1.0350204568659866,0.6017386187941317,89,351,1718,,,Hot
181,15,39,1.094641350378489,-0.29268577773250853,106,1.0908803936716909,0.16853907392376213,-0.22049433813849917,0.6369897485038363,1.2105491101430446,0.8074777093015131,90,355,1765,,,Hot
181,16,44,1.2947641761059054,-0.29268577773250853,110,1.125937702516308,0.31228066862259757,-0.27019008502996544,0.7000181581960644,1.2062679234777505,0.8818939760807787,87,382,1879,,,Hot
181,17,51,1.4342437213098622,-0.29268577773250853,135,1.2427953986650315,0.3938637358840988,-0.32609780028286506,0.786682221522878,1.3132975901101027,1.0066506586224886,86,387,1898,,,Hot
